programm;foerderelement;foerderjahr;bewilligungsstelle;antraege;bewilligt;abgelehnt;foerdervolumen_euro;herkunft;konflikt;ablehnungsgruende;quelle_id;quelle_seite
Starke Heimat Nordrhein-Westfalen;Heimat-Fonds;2018;Arnsberg;7;4;3;;gezaehlt;;"{""entspricht nicht den Förderkriterien"": 2, ""nicht antragsberechtigt"": 1}";drs-17-9738;58
Starke Heimat Nordrhein-Westfalen;Heimat-Fonds;2018;Detmold;6;6;0;;gezaehlt;;{};drs-17-9738;85
Starke Heimat Nordrhein-Westfalen;Heimat-Fonds;2018;Düsseldorf;2;2;0;;gezaehlt;;{};drs-17-9738;30
Starke Heimat Nordrhein-Westfalen;Heimat-Fonds;2018;Köln;4;4;0;;gezaehlt;;{};drs-17-9738;39
Starke Heimat Nordrhein-Westfalen;Heimat-Fonds;2018;Münster;5;3;2;;gezaehlt;;"{""entspricht nicht den Förderkriterien"": 1, ""Übernahme in die Dorferneuerung"": 1}";drs-17-9738;131
Starke Heimat Nordrhein-Westfalen;Heimat-Preis;2018;Arnsberg;16;16;0;;gezaehlt;;{};drs-17-9738;55
Starke Heimat Nordrhein-Westfalen;Heimat-Preis;2018;Detmold;9;9;0;;gezaehlt;;{};drs-17-9738;85
Starke Heimat Nordrhein-Westfalen;Heimat-Preis;2018;Düsseldorf;8;8;0;;gezaehlt;;{};drs-17-9738;102
Starke Heimat Nordrhein-Westfalen;Heimat-Preis;2018;Köln;17;16;1;;gezaehlt;;"{""Antrag zurückgezogen"": 1}";drs-17-9738;115
Starke Heimat Nordrhein-Westfalen;Heimat-Preis;2018;Münster;2;2;0;;gezaehlt;;{};drs-17-9738;131
Starke Heimat Nordrhein-Westfalen;Heimat-Scheck;2018;Arnsberg;360;229;131;;gezaehlt;;"{""vereinsintern"": 66, ""entspricht nicht den Förderkriterien"": 44, ""vereinsintern, entspricht nicht den Förderkriterien"": 4, ""vorzeitiger Maßnahmebeginn"": 3, ""Freie Wählergemeinschaft, entspricht nicht den Förderkriterien"": 1, ""vereinsintere Maßnahme"": 1, ""kein konkretes Projekt"": 1, ""2. Antrag in 2019"": 1, ""kein besonderes Heimatprojekt - bereits 1. Scheck für dieselbe Maßnahme vergeben"": 1, ""vereinstintern"": 1, ""Planungskosten nicht förderfähig"": 1, ""wiederkehrend"": 1, ""Teil eines Gesamtprojektes, welches bereits durch den HSK gefördert wurde"": 1, ""vereinsinterne Maßnahme"": 1, ""entspricht nicht den Förderkriterien, reine Instandhaltungsmaßnahme"": 1, ""Förderung durch Stadt"": 1, ""vorz. Maßnahmebeginn"": 1, ""vereinsintern, mobiliar"": 1}";drs-17-9738;84
